DATE	WGPT:HW1_1	WGPT:HW1_2	WGPT:HW1_3	WGPT:HW1_4	WGPT:HW1_5	WGPT:HW1_6	WGPT:HW1_7	WGPT:HW1_8	WGPT:HW2_10	WGPT:HW2_6	WGPT:HW2_7	WGPT:HW2_8	WGPT:HW2_9	WGPT:HW3_10	WGPT:HW3_11	WGPT:HW3_12	WGPT:HW3_13	WGPT:HW3_14	WGPT:HW3_15	WGPT:HW3_16	WGPT:HW3_17	WGPT:HW3_18	WGPT:HW3_19	WGPT:HW3_9	WWPT:HW1_1	WWPT:HW1_2	WWPT:HW1_3	WWPT:HW1_4	WWPT:HW1_5	WWPT:HW1_6	WWPT:HW1_7	WWPT:HW1_8	WWPT:HW2_10	WWPT:HW2_6	WWPT:HW2_7	WWPT:HW2_8	WWPT:HW2_9	WWPT:HW3_10	WWPT:HW3_11	WWPT:HW3_12	WWPT:HW3_13	WWPT:HW3_14	WWPT:HW3_15	WWPT:HW3_16	WWPT:HW3_17	WWPT:HW3_18	WWPT:HW3_19	WWPT:HW3_9	WBP9:HW1_1	WBP9:HW1_2	WBP9:HW1_3	WBP9:HW1_4	WBP9:HW1_5	WBP9:HW1_6	WBP9:HW1_7	WBP9:HW1_8	WBP9:HW2_10	WBP9:HW2_6	WBP9:HW2_7	WBP9:HW2_8	WBP9:HW2_9	WBP9:HW3_10	WBP9:HW3_11	WBP9:HW3_12	WBP9:HW3_13	WBP9:HW3_14	WBP9:HW3_15	WBP9:HW3_16	WBP9:HW3_17	WBP9:HW3_18	WBP9:HW3_19	WBP9:HW3_9	WTHP:HW1_1	WTHP:HW1_2	WTHP:HW1_3	WTHP:HW1_4	WTHP:HW1_5	WTHP:HW1_6	WTHP:HW1_7	WTHP:HW1_8	WTHP:HW2_10	WTHP:HW2_6	WTHP:HW2_7	WTHP:HW2_8	WTHP:HW2_9	WTHP:HW3_10	WTHP:HW3_11	WTHP:HW3_12	WTHP:HW3_13	WTHP:HW3_14	WTHP:HW3_15	WTHP:HW3_16	WTHP:HW3_17	WTHP:HW3_18	WTHP:HW3_19	WTHP:HW3_9
	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (SM3)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)	 (BARSA)
01 Jan 2025	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89.352905	89.299217	89.286163	89.289223	89.51268	0	0	0	0	89.4347	89.261406	89.424187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
02 Jan 2025	804539.75	818197.13	941622.31	949952.06	927573.38	0	0	0	0	787968.25	770047.62	850099.5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88.385857	88.77533	88.499886	88.793053	87.427086	0	0	0	0	88.272873	88.799629	87.722107	0	0	0	0	0	0	0	0	0	0	0	0	80.886063	81.559464	81.093079	81.532555	79.059227	0	0	0	0	80.302422	81.621964	79.635315	0	0	0	0	0	0	0	0	0	0	0	0
05 Jan 2025	3224434.5	3295499.5	3779817.8	3826191.7	3653500.5	0	0	0	0	3145546.5	3104529.5	3370480	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87.589867	88.437561	88.060989	88.565559	86.028564	0	0	0	0	87.396652	88.599991	86.33197	0	0	0	0	0	0	0	0	0	0	0	0	80.090546	81.208557	80.632584	81.286102	77.637489	0	0	0	0	79.423981	81.399353	78.245712	0	0	0	0	0	0	0	0	0	0	0	0
14 Jan 2025	10478425	10766576	12325542	12511599	11748531	0	0	0	0	10202349	10156587	10860390	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.845108	88.094704	87.742867	88.382095	85.090675	0	0	0	0	86.554955	88.411812	84.914787	0	0	0	0	0	0	0	0	0	0	0	0	79.379944	80.870331	80.315269	81.096153	76.755814	0	0	0	0	78.61998	81.203041	76.905014	0	0	0	0	0	0	0	0	0	0	0	0
05 Feb 2025	28706078	29636584	33913080	34490312	32029002	0	0	0	0	27908418	28001246	29508970	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86.190033	87.629555	87.35553	88.088295	84.428391	0	0	0	0	85.638588	88.119789	83.36071	0	0	0	0	0	0	0	0	0	0	0	0	78.761612	80.421989	79.936966	80.805428	76.137581	0	0	0	0	77.754753	80.913292	75.458572	0	0	0	0	0	0	0	0	0	0	0	0
25 Feb 2025	44791144	46330980	53027060	53974736	49917372	0	0	0	0	43477900	43821484	45766092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.858353	87.296608	87.070351	87.848724	84.081879	0	0	0	0	85.113747	87.890244	82.485748	0	0	0	0	0	0	0	0	0	0	0	0	78.444725	80.099602	79.655998	80.566856	75.807114	0	0	0	0	77.264145	80.68351	74.664505	0	0	0	0	0	0	0	0	0	0	0	0
21 Mar 2025	63979636	66248772	75842648	77247224	71248376	0	0	0	0	62003384	62720080	65016772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.578819	86.949722	86.762527	87.578773	83.768639	0	0	0	0	84.656448	87.63398	81.723022	0	0	0	0	0	0	0	0	0	0	0	0	78.176857	79.769157	79.359573	80.306168	75.505981	0	0	0	0	76.834679	80.43541	73.961143	0	0	0	0	0	0	0	0	0	0	0	0
07 Apr 2025	77352000	80119664	91737656	93469360	86104248	0	0	0	0	74882800	75895888	78342816	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.410889	86.724846	86.557556	87.395943	83.574631	0	0	0	0	84.389977	87.460342	81.291046	0	0	0	0	0	0	0	0	0	0	0	0	78.01326	79.554123	79.161346	80.128563	75.317749	0	0	0	0	76.584259	80.266022	73.567093	0	0	0	0	0	0	0	0	0	0	0	0
05 May 2025	1.0048748E+8	1.0410268E+8	1.1922551E+8	1.2153198E+8	1.1179418E+8	0	0	0	0	97135584	98691616	1.0131294E+8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85.160896	86.371986	86.224541	87.093666	83.279312	0	0	0	0	84.012955	87.171722	80.697815	0	0	0	0	0	0	0	0	0	0	0	0	77.774567	79.220665	78.844551	79.841087	75.034203	0	0	0	0	76.228416	79.991539	73.012604	0	0	0	0	0	0	0	0	0	0	0	0
